1500081237167914;doge_rur;buy;1,98722694;0,38981754;1538051607113;1538052127224;1;1,98722694;
1500081237188051;doge_rur;buy;1,98152449;0,38981755;1538052287875;1538052302304;1;1,98152449;
1500081237190836;doge_rur;buy;1,98322930;0,38978704;1538052377513;1538052557347;1;1,98322930;
2500081237218791;doge_rur;sell;5,95198073;0,39175876;1538053248647;1538053258541;4;5,95198073
1500081237219648;doge_rur;buy;1,99333858;0,38899202;1538053283797;0;0;0,00000000




1500081237331251;doge_rur;buy;1,99209796;0,39131390;1538057269537;0;0;0,00000000

1500081237341895;doge_rur;buy;1,99209723;0,39139001;1538057645431;1538057670196;1;1,99209723;
1500081237344808;doge_rur;buy;1,99298988;0,39139001;1538057754324;1538057780222;1;1,99298988;
1500081237356749;doge_rur;buy;1,99233391;0,39250001;1538058186410;1538058216242;1;1,99233391;
1500081237369328;doge_rur;buy;1,99162146;0,39270001;1538058641591;1538058706317;1;1,99162146;
1500081237394154;doge_rur;buy;1,99168995;0,39270001;1538059566889;1538059636566;1;1,99168995;
1500081237407363;doge_rur;buy;1,99490701;0,39200001;1538060056882;1538060136656;1;1,99490701;

1500081237471169;doge_rur;buy;1,98842302;0,39156854;1538062402471;1538062442285;1;1,98842302;
1500081237475082;doge_rur;buy;1,98997250;0,39200072;1538062533716;1538062547290;1;1,98997250;
1500081237493884;doge_rur;buy;1,98991731;0,39213001;1538063222670;1538063237527;1;1,98991731;
1500081237526835;doge_rur;buy;1,98791150;0,39219001;1538064388177;1538064452972;1;1,98791150;
1500081237537803;doge_rur;buy;1,99620561;0,39067402;1538064773298;1538064838089;1;1,99620561;
1500081237549009;doge_rur;buy;1,99603794;0,39066196;1538065163411;1538065213201;1;1,99603794;
1500081237573026;doge_rur;buy;1,95666297;0,40141001;1538066032454;0;0;0,00000000

1500081237591604;doge_rur;buy;1,94750591;0,40410001;1538066679042;1538066728750;2;1,00000000;
1500081237593185;doge_rur;buy;0,95129716;0,40277002;1538066733957;1538066778767;1;0,95129716;
1500081237603444;doge_rur;buy;1,95474816;0,40285001;1538067099053;1538067173908;1;1,95474816;
1500081237607156;doge_rur;buy;1,95082837;0,40127925;1538067239123;1538067518948;1;1,95082837;
1500081237620439;doge_rur;buy;1,95183686;0,40087001;1538067729270;1538067759018;1;1,95183686;
1500081237623557;doge_rur;buy;1,96067773;0,40093414;1538067854321;1538067989088;1;1,96067773;
1500081237628806;doge_rur;buy;1,96058965;0,40044398;1538068044312;1538068244150;1;1,96058965;
1500081237643177;doge_rur;buy;1,95995724;0,40006435;1538068519578;1538068589240;1;1,95995724;
1500081237650207;doge_rur;buy;1,95935053;0,40141001;1538068749547;1538068804326;1;1,95935053;
1500081237675904;doge_rur;buy;1,95233129;0,40042001;1538069644805;1538069659587;1;1,95233129;
1500081237678648;doge_rur;buy;1,95402640;0,40070332;1538069734870;1538069939643;1;1,95402640;
1500081237686856;doge_rur;buy;1,95566016;0,40063556;1538070029874;1538070114714;1;1,95566016;
1500081237700365;doge_rur;buy;1,96400367;0,39976881;1538070485097;1538070499872;1;1,96400367;
1500081237706512;doge_rur;buy;1,96257536;0,39980001;1538070690164;0;0;0,00000000

1500081237707396;doge_rur;buy;1,96257533;0,39999890;1538070720143;1538070789904;1;1,96257533;
1500081237710447;doge_rur;buy;1,96251294;0,39900763;1538070831447;1538070899943;1;1,96251294;
1500081237728599;doge_rur;buy;1,96251917;0,39981979;1538071521244;1538071646070;1;1,96251917;
1500081237735087;doge_rur;buy;1,96372889;0,39870001;1538071751410;1538071801153;1;1,96372889;
1500081237739398;doge_rur;buy;1,96499403;0,39874001;1538071906700;1538071941210;1;1,96499403;
1500081237749381;doge_rur;buy;1,96323854;0,39901208;1538072271587;1538072311274;1;1,96323854;
1500081237775096;doge_rur;buy;1,96428940;0,39587001;1538073162282;1538073176839;1;1,96428940;
1500081237779636;doge_rur;buy;1,96480542;0,39587001;1538073322086;1538073351845;1;1,96480542;
1500081237792328;doge_rur;buy;1,96485857;0,39830001;1538073787227;1538073821926;1;1,96485857;
1500081237799565;doge_rur;buy;1,96300771;0,39897001;1538074047241;1538074112009;1;1,96300771;
1500081237803580;doge_rur;buy;1,96475216;0,39774009;1538074202271;1538074232045;1;1,96475216;
1500081237820399;doge_rur;buy;1,96002845;0,39900001;1538074847507;0;0;0,00000000

1500081237822615;doge_rur;buy;1,96002847;0,39900001;1538074927492;1538074982275;1;1,96002847;
1500081237836444;doge_rur;buy;1,96184509;0,39821001;1538075442919;1538075472454;1;1,96184509;
1500081237847843;doge_rur;buy;1,96650897;0,39816368;1538075867790;1538075962632;1;1,96650897;
1500081237862048;doge_rur;buy;1,96611125;0,39816368;1538076397925;1538076427674;1;1,96611125;
1500081237871842;doge_rur;buy;1,96750560;0,39816368;1538076757971;1538076797787;1;1,96750560;
1500081237883434;doge_rur;buy;1,96446370;0,39819002;1538077168156;1538077197836;1;1,96446370;
1500081237917218;doge_rur;buy;1,96328692;0,40010859;1538078213312;1538078253116;1;1,96328692;
1500081237924770;doge_rur;buy;1,95332818;0,40000004;1538078438404;1538078453155;1;1,95332818;
1500081237938435;doge_rur;buy;1,96176812;0,39852011;1538078823584;0;0;0,00000000

