2500081197489966;doge_rur;sell;21,59807469;0,38623240;1535835346969;1535835388878;1;21,59807469;

2500081197497736;doge_rur;sell;21,41477267;0,39664199;1535835810887;1535835840033;1;21,41477267;
1500081197499006;doge_rur;buy;21,41477267;0,39459233;1535835880330;0;0;0,00000000

2500081197506753;doge_rur;sell;21,60580944;0,38581239;1535836354681;1535836409378;1;21,60580944;
2500081197508471;doge_rur;sell;21,60580944;0,39044214;1535836454647;1535836501354;1;21,60580944;
2500081197511296;doge_rur;sell;21,60580944;0,39499999;1535836625011;0;0;0,00000000;
1500081197513090;doge_rur;buy;43,21161888;0,38657631;1535836750630;1535836846293;1;43,21161888;

2500081197514818;doge_rur;sell;21,49574929;0,39363289;1535836851449;1535836931449;1;21,49574929;
1500081197516129;doge_rur;buy;21,49574929;0,39205993;1535836936883;1535836996497;1;21,49574929;
2500081197516844;doge_rur;sell;21,49574929;0,39756922;1535836981689;0;0;0,00000000;

2500081197517295;doge_rur;sell;21,54345098;0,39011317;1535837001682;1535837066505;1;21,54345098;
1500081197518489;doge_rur;buy;21,54345098;0,38855428;1535837071780;1535837131517;1;21,54345098;
2500081197519303;doge_rur;sell;21,54345098;0,39401430;1535837117858;0;0;0,00000000;

2500081197519645;doge_rur;sell;21,53658024;0,39389999;1535837136746;1535837201575;1;21,53658024;
2500081197522587;doge_rur;sell;21,53658024;0,39834163;1535837301920;1535837466721;1;21,53658024;
2500081197526640;doge_rur;sell;21,53658024;0,40232505;1535837562035;1535837616774;1;21,53658024;
2500081197529280;doge_rur;sell;21,53658024;0,40999998;1535837736999;1535837781891;2;10,93382185;
2500081197530180;doge_rur;sell;10,60275839;0,40634830;1535837788331;1535837833172;1;10,60275839;
2500081197531819;doge_rur;sell;21,53658024;0,41228423;1535837892345;0;0;0,00000000;
1500081197533509;doge_rur;buy;86,14632096;0,39909105;1535837992473;1535839692107;1;86,14632096;

2500081197560994;doge_rur;sell;21,44942575;0,39894107;1535839755829;1535839804234;1;21,44942575;
2500081197567837;doge_rur;sell;21,44942575;0,40318410;1535840184607;1535840482695;1;21,44942575;
2500081197575676;doge_rur;sell;21,44942575;0,40900000;1535840618362;1535840657704;1;21,44942575;
2500081197579830;doge_rur;sell;21,44942575;0,41316451;1535840843137;1535841583451;1;21,44942575;
2500081197593076;doge_rur;sell;21,44942575;0,41729616;1535841622329;1535841648577;1;21,44942575;
