2500081237944569;doge_rur;sell;1,96137576;0,40199999;1538079008529;1538079023332;1;1,96137576;
2500081237958499;doge_rur;sell;1,96156885;0,40199999;1538079428676;1538079448425;1;1,96156885;
2500081237976060;doge_rur;sell;1,96951410;0,39995541;1538079949111;1538079978550;1;1,96951410;
2500081237991670;doge_rur;sell;1,96631259;0,40089998;1538080433990;1538080463719;1;1,96631259;
2500081238012857;doge_rur;sell;1,96530774;0,40199998;1538081114058;1538081128868;1;1,96530774;
2500081238031673;doge_rur;sell;1,96320907;0,40199981;1538081714309;1538081729053;1;1,96320907;
2500081238036566;doge_rur;sell;1,96430050;0,40199998;1538081879356;1538081894073;1;1,96430050;
2500081238045317;doge_rur;sell;1,96449387;0,40199998;1538082194372;1538082234176;1;1,96449387;

2500081238080882;doge_rur;sell;1,96552470;0,40199993;1538083459639;1538083499424;1;1,96552470;
2500081238085218;doge_rur;sell;1,96655605;0,40199994;1538083614898;1538083654673;1;1,96655605;
2500081238090089;doge_rur;sell;1,98020765;0,40199994;1538083790281;1538083874736;1;1,98020765;
2500081238176839;doge_rur;sell;1,97059509;0,40177506;1538086835841;1538086860632;1;1,97059509;
2500081238180485;doge_rur;sell;1,97019236;0,40177760;1538086955907;1538086970664;1;1,97019236;

2500081238201708;doge_rur;sell;1,97040509;0,40199998;1538087676023;1538087705822;1;1,97040509;
2500081238247038;doge_rur;sell;1,98324404;0,39817795;1538089216587;1538089246369;1;1,98324404;
2500081238250029;doge_rur;sell;1,98284739;0,39817795;1538089321581;1538089336378;1;1,98284739;
2500081238253594;doge_rur;sell;1,98294786;0,39817795;1538089451694;1538089476457;1;1,98294786;
2500081238258088;doge_rur;sell;1,98255126;0,39817795;1538089611731;1538089636515;1;1,98255126;
2500081238261297;doge_rur;sell;1,98215475;0,39817795;1538089726817;1538089741539;1;1,98215475;
2500081238264298;doge_rur;sell;1,98175831;0,39817795;1538089831781;1538089856578;1;1,98175831;
2500081238277213;doge_rur;sell;1,98185903;0,39817795;1538090271942;1538090311729;1;1,98185903;
2500081238294538;doge_rur;sell;1,98240029;0,39817795;1538090892108;1538090911841;1;1,98240029;

2500081238326542;doge_rur;sell;1,98316126;0,39817795;1538092057361;1538092087116;1;1,98316126;
2500081238363647;doge_rur;sell;1,98392251;0,39817795;1538093407753;1538093437540;1;1,98392251;
2500081238390726;doge_rur;sell;1,98471347;0,39817795;1538094363010;1538094377737;1;1,98471347;
2500081238415685;doge_rur;sell;1,98550680;0,39817795;1538095218132;1538095232891;1;1,98550680;

2500081238467629;doge_rur;sell;1,98471263;0,39817796;1538097148652;1538097523552;1;1,98471263;
2500081238479479;doge_rur;sell;1,98431569;0,39817796;1538097603775;1538097628580;1;1,98431569;
2500081238529277;doge_rur;sell;1,99071650;0,39817686;1538099489604;1538099589077;1;1,99071650;
2500081238574587;doge_rur;sell;1,98945539;0,39738209;1538101144787;0;0;0,00000000

2500081238596341;doge_rur;sell;1,98964775;0,39677750;1538101915016;1538101945958;1;1,98964775;
2500081238601023;doge_rur;sell;1,98974500;0,39677750;1538102080009;1538102109813;1;1,98974500;
2500081238608588;doge_rur;sell;1,98984256;0,39677740;1538102355083;1538102399874;1;1,98984256;
2500081238613638;doge_rur;sell;1,98993977;0,39677740;1538102525138;1538102544895;1;1,98993977;
2500081238636216;doge_rur;sell;1,99003689;0,39677740;1538103320232;1538103350023;1;1,99003689;
2500081238668682;doge_rur;sell;1,98963887;0,39677740;1538104510484;1538104550301;1;1,98963887;

2500081238703759;doge_rur;sell;1,98316276;0,39855999;1538105786047;1538105805496;2;1,00000000;
2500081238707210;doge_rur;sell;0,98699434;0,39879999;1538105911021;1538105940520;1;0,98699434;
2500081238761598;doge_rur;sell;1,99081767;0,39849999;1538107901108;1538108871114;1;1,99081767;
2500081238803526;doge_rur;sell;1,99212984;0,39779777;1538109491408;0;0;0,00000000

2500081238814718;doge_rur;sell;1,99095392;0,39779776;1538109926812;1538110296486;1;1,99095392;
2500081238834321;doge_rur;sell;1,98842543;0,39820999;1538110656894;1538110811634;2;1,00000000;
2500081238866833;doge_rur;sell;0,99389966;0,39741998;1538111922180;1538111951954;1;0,99389966;
2500081238875917;doge_rur;sell;1,99237974;0,39686999;1538112247244;1538112272021;1;1,99237974;
2500081238877909;doge_rur;sell;1,99198128;0,39849992;1538112317204;1538112342019;1;1,99198128;
2500081238880667;doge_rur;sell;1,98901556;0,39849992;1538112422277;1538112452071;1;1,98901556;
2500081238882575;doge_rur;sell;1,99642501;0,39849992;1538112492313;1538112507113;1;1,99642501;
2500081238885489;doge_rur;sell;1,99757829;0,39849992;1538112602320;0;0;0,00000000
1500081238907716;doge_rur;buy;8,29248896;0,39601326;1538113421503;1538113431378;4;8,29248896

